Product,Category,Release Date,Price
Settlers of Catan,Toys & Games,July 15 2011,29.95
DVD Player,Electronics,June 18 2011,82.97
Red Shirt,Clothes,July 25 2011,12.49
Black Leather Couch,Furniture,July 27 2011,399.99
Oak Coffee Table,Furniture,July 28 2011,223.99
Technodrome,Toys & Games,July 28 2011,27.99
Oh's Cereal,Food,July 29 2011,3.95
Game Console,Toys & Games,August 2 2011,299.95
Video Game,Toys & Games,August 5 2011,29.95
Lawn Chair,Furniture,August 5 2011,34.99
Dog toy Bone,Toys & Games,August 8 2011,2.99
Heated Blanket,Furniture,August 9 2011,27.95
Flux Capacitor,Electronics,August 12 2011,19.55
Chocolate Pie,Foods,March 14 2011,3.14
